line_index,semantic_similarity,punct_src,punct_tgt,punct_diff,punct_similarity,combined_score,source,repaired
1,0.795079,2,4,2,1.0,0.795079,# 第3话 警察先生，就是这个人,"# Chapter 3: Officer, It's This Person!"
3,0.748103,2,2,0,1.0,0.748103,第二天，政近比平常提早约一小时到校。 ,"The next day, Masachika arrived at school about an hour earlier than usual."
5,0.882803,1,1,0,1.0,0.882803,不是基于什么特别重要的原因。 ,It wasn't for any particularly important reason.
7,0.882514,1,1,0,1.0,0.882514,单纯是他比平常早一小时醒来。 ,He simply woke up an hour earlier than usual.
9,0.744976,4,5,1,1.0,0.744976,而且政近难得这么清爽起床，预料要是贸然睡回笼觉将会迟迟睡不著，一直赖床到最后睡过头，所以决定乾脆提早上学。 ,"And since Masachika rarely felt this refreshed upon waking, he anticipated that if he tried to go back to sleep, he'd end up tossing and turning, staying in bed until he overslept completely. So he decided to just head to school early."
11,0.82737,1,1,0,1.0,0.82737,另一个原因在于他今天刚好是值日生。 ,Another reason was that today happened to be his day to be on duty.
13,0.82671,5,6,1,1.0,0.82671,这所学校按照出席编号的顺序，每天由两人担任值日生，两人的座位会安排为相邻而坐。换句话说，政近的值日生搭档是艾莉莎。 ,"At this school, two students are assigned as duty students each day, based on their attendance numbers, and their seats are arranged next to each other. In other words, Alya was Masachika's duty partner."
15,0.736524,5,4,1,1.0,0.736524,政近知道自己是嫌麻烦又怠惰的人，不过会注意避免为别人添麻烦（忘记带课本请艾莉莎借他看，在他心中不属于添麻烦的范围）。 ,"Masachika knew he was someone who disliked trouble and was lazy, but he made sure not to cause trouble for others (like forgetting his textbook and asking Alya to lend him hers—this didn't count as causing trouble in his mind)."
17,0.809167,6,4,2,1.0,0.809167,所以再怎么麻烦，他也不会偷懒不做轮值打扫或值日生的工作。即使如此，他也只会做好自己负责的部分，这方面算是政近天生的个性，但他今天心情不太一样。 ,"So no matter how troublesome it was, he wouldn't slack off on his cleaning or duty responsibilities. Even so, he only did what was strictly his responsibility—this was just Masachika's natural personality—but today he felt different."
19,0.867947,4,4,0,1.0,0.867947,「嗯，我做得真完美。」 ,"""Hmm, I did a perfect job."""
21,0.732857,2,1,1,1.0,0.732857,政近在讲台环视无人的教室，满意点了点头。 ,Masachika looked around the empty classroom from the podium and nodded with satisfaction.
23,0.798926,2,4,2,1.0,0.798926,桌椅排列得井然有序，班导要归还众人的笔记本也整齐摆在桌上。 ,"The desks and chairs were neatly arranged, and the class teacher's notebooks, ready to be returned, were neatly stacked on the desk."
25,0.822238,2,2,0,1.0,0.822238,黑板完全没残留粉笔灰，板擦也是乾乾净净的状态。 ,"The blackboard was completely free of chalk dust, and the eraser was spotless."
27,0.891443,9,9,0,1.0,0.891443,这些都是艾莉莎值日时擅自做的事情，原本不在值日生工作的范围，不过政近今天难得早起，所以想试著对她说「咦？你平常做的工作？我都帮你做完了啊？」这种话。 ,"These were things Alya had done on her own initiative during her duty, which weren't originally part of the duty student's tasks. But since Masachika had gotten up unusually early today, he wanted to try saying to her, ""Huh? You usually do this? I already finished it for you!"""
29,0.761061,2,3,1,1.0,0.761061,政近回到自己座位，等待应该会比平常早到的艾莉莎。 ,"Masachika returned to his seat, waiting for Alya, who should arrive earlier than usual."
31,0.863215,4,5,1,1.0,0.863215,数分钟后，艾莉莎果然来了。她打开教室的门，认出政近之后睁大双眼。 ,"A few minutes later, Alya indeed arrived. She opened the classroom door, spotted Masachika, and widened her eyes."
33,0.758017,4,4,0,1.0,0.758017,「哟，早啊。」 ,"""Yo, good morning."""
35,0.757886,5,5,0,1.0,0.757886,「……早安，久世同学。」 ,"""...Good morning, Masachika-kun."""
37,0.762496,3,6,3,0.777778,0.593052,艾莉莎环视教室，察觉平常自己做的工作都被做完而皱眉，政近露出洋洋得意的笑容对她开口： ,"Alya surveyed the classroom, noticed that all the tasks she usually did had already been completed, and frowned. Masachika, wearing a smug smile, said to her:"
39,0.784932,4,4,0,1.0,0.784932,「我今天早上难得很早起床，闲著没事就把各种工作做完了。」 ,"""I got up incredibly early this morning, so I just did all sorts of chores while I had nothing else to do."""
41,0.81542,5,5,0,1.0,0.81542,「……久世同学居然早起，今天难道会下雪吗？」 ,"""...Masachika-kun actually got up early? Is it going to snow today?"""
43,0.882922,4,4,0,1.0,0.882922,「艾莉同学，你日语真的很好耶。」 ,"""Alya-chan, your Japanese is really good."""
45,0.892194,3,3,0,1.0,0.892194,「小心别在上课的时候睡著啊。」 ,"""Be careful not to fall asleep during class."""
47,0.859353,4,4,0,1.0,0.859353,「……我会妥善处理。」 ,"""...I'll handle it properly."""
49,0.679636,3,3,0,1.0,0.679636,政近没什么自信如此回应，艾莉莎傻眼般地叹口气，轻声以坚定的语气说： ,"Masachika replied somewhat uncertainly, and Alya sighed in disbelief, softly but firmly saying:"
51,0.828361,4,4,0,1.0,0.828361,「……上午的黑板由我来擦。」 ,"""...I'll erase the blackboard this morning."""
53,0.690675,2,1,1,1.0,0.690675,绝对不想欠别人人情的这种态度，使得政近露出苦笑。 ,Masachika couldn't help but give a wry smile at this attitude of absolutely refusing to owe anyone a favor.
55,0.713604,2,2,0,1.0,0.713604,政近并不是想做人情给她，不过这应该是艾莉莎自身尊严的问题吧。 ,"Masachika wasn't trying to do her a favor, but this seemed to be a matter of Alya's own pride."
57,0.704097,5,7,2,1.0,0.704097,经过一年多的来往，政近知道这种时候说什么都没用，所以也回应「那就拜托了」率直接受她的要求。 ,"After more than a year of interaction, Masachika knew that saying anything at times like these would be pointless, so he straightforwardly accepted her request, saying, ""Then please do it."""
59,0.807109,3,2,1,1.0,0.807109,对于政近的回应，艾莉莎再度露出不满表情点点头，以有点奇怪的脚步走向座位。 ,"In response to Masachika's reply, Alya once again nodded with a dissatisfied expression and walked toward her seat with somewhat strange steps."
61,0.798636,2,1,1,1.0,0.798636,政近觉得这种走路方式不对劲，发现她的过膝袜是湿的。 ,Masachika thought this way of walking was odd and noticed that her knee-high socks were wet.
63,0.877709,4,4,0,1.0,0.877709,看向窗外，不用确认就知道户外是晴天。虽然晚上好像下过雨，但现在丝毫没有这种感觉。 ,"Looking out the window, he didn't even need to confirm—it was clearly sunny outside. Although it seemed to have rained last night, there was no sign of it now."
65,0.867171,4,4,0,1.0,0.867171,「你的袜子怎么了？是一脚踩进水洼吗？」 ,"""What happened to your socks? Did you step into a puddle?"""
67,0.883291,4,5,1,1.0,0.883291,「不是啦。我又不是你。」 ,"""No, I didn't. I'm not you."""
69,0.759796,3,3,0,1.0,0.759796,「你说谁是整年心不在焉的冒失鬼？」 ,"""Who are you calling a clumsy fool who's always absent-minded?"""
71,0.84229,5,5,0,1.0,0.84229,「我没说得这么过分……唉，这是被卡车激起水花溅湿的。」 ,"""I didn't say anything that extreme... Sigh, they got splashed by a truck."""
73,0.761685,4,4,0,1.0,0.761685,「哎呀呀，真是苦了你啊。」 ,"""Oh dear, that must have been tough for you."""
75,0.883876,6,7,1,1.0,0.883876,「总之，走路太靠近马路的我也有责任，我也有备用的袜子所以没关系，对吧？」 ,"""Anyway, it's also my fault for walking too close to the road. I have spare socks, so it's okay, right?"""
77,0.793484,4,6,2,1.0,0.793484,虽然嘴里这么说，不过艾莉莎一坐下就不舒服般地臭著脸脱掉室内鞋，然后弯曲右脚踩在椅面边缘，在政近面前脱起过膝袜。 ,"Although she said this, as soon as Alya sat down, she uncomfortably scowled, took off her indoor shoes, bent her right leg and placed it on the edge of the chair, and began to take off her knee-high socks in front of Masachika."
79,0.904316,5,9,4,0.714286,0.64594,白色过膝袜包覆的耀眼美腿展露在政近眼前。修长又白得惊人的腿，沐浴在窗外射入的朝阳下闪闪发亮。裙子从打直的腿上滑落，大腿稍微从裙襬露出。 ,"A dazzling pair of legs, encased in white knee-high socks, were revealed before Masachika's eyes. Long, strikingly pale legs, bathed in the morning sunlight streaming through the window, glistened brilliantly. Her skirt slipped down from her straight legs, revealing a glimpse of her thighs beneath the hem."
81,0.834266,4,5,1,1.0,0.834266,脱掉湿透的过膝袜，艾莉莎像是沉浸在解放感般地伸直腿，让潮湿的赤裸右腿透气。这副模样令政近觉得看见不该看的东西而移开视线。 ,"After removing her soaked knee-high socks, Alya stretched out her legs as if immersed in a sense of liberation, letting her damp, bare right leg breathe. This sight made Masachika feel as though he had seen something he shouldn't have and quickly averted his gaze."
83,0.843736,4,4,0,1.0,0.843736,明明只是脱下过膝袜，却像是偷窥换衣服或入浴般冒出奇妙的罪恶感。政近如今强烈意识到艾莉莎是绝世美少女，突然觉得坐立不安。 ,"Even though she had merely taken off her knee-high socks, it evoked a strange sense of guilt, akin to peeking at someone changing clothes or taking a bath. Masachika now acutely realized that Alya was an exceptionally beautiful girl and suddenly felt restless."
85,0.720906,3,3,0,1.0,0.720906,「呼……」 ,"""Hoo..."""
87,0.793637,3,3,0,1.0,0.793637,艾莉莎脱掉双腿的过膝袜，以随身携带在雨天使用的小毛巾擦乾双腿之后，一脸舒坦地吐气。 ,"Alya removed the knee-high socks from both legs, dried her legs with a small towel she carried for rainy days, and then let out a relieved sigh."
89,0.716249,3,2,1,1.0,0.716249,不经意看向旁边，发现政近就这么面向这里挂著尴尬表情看著斜下方，使她感到诧异。 ,"She casually glanced to the side and was surprised to see Masachika facing this way, wearing an awkward expression and looking downward."
91,0.699918,5,8,3,0.846154,0.592238,平常从容不迫，凡事都不为所动的政近，露出害臊般脸红心跳的表情……看见这一幕的艾莉莎，嘴角浮现不安好心的笑容。 ,"Masachika, usually calm and unflappable, showing no reaction to anything, now wore a flushed, heart-pounding expression of embarrassment... Seeing this, Alya's lips curled into an uneasy, mischievous smile."
93,0.761045,3,6,3,0.777778,0.591924,艾莉莎露出像是喜欢整人的恶作剧表情，重新朝向政近伸出右腿，以大拇趾与食趾俐落夹住政近的裤子使力拉扯。 ,"Alya, wearing an expression like someone about to play a prank, turned back toward Masachika, extended her right leg, and nimbly pinched the fabric of Masachika's pants between her big toe and index toe, pulling hard."
95,0.823792,4,4,0,1.0,0.823792,「欸，可以帮我去置物柜拿备用的袜子吗？」 ,"""Hey, could you please go to my locker and get my spare socks?"""
97,0.759471,3,3,0,1.0,0.759471,「啊？」 ,"""Huh?"""
99,0.846185,4,4,0,1.0,0.846185,「我先脱掉了，没办法自己去拿。」 ,"""I've already taken mine off, so I can't get them myself."""
101,0.743106,6,6,0,1.0,0.743106,然后像是暗示「你看了就知道吧？」，就这么让趾尖腾空，俐落交叠双腿。 ,"Then, as if hinting, ""You'll understand when you see it,"" she lifted her toes into the air and neatly crossed her legs."
103,0.706182,3,3,0,1.0,0.706182,这一瞬间，差点就可以从正面看见绝对领域，政近也藏不住慌张而移开视线。 ,"At that moment, Masachika almost caught a direct view of her absolute zone and couldn't hide his fluster, quickly averting his gaze."
105,0.821775,3,4,1,1.0,0.821775,看著他的反应，艾莉莎的整人笑容愈来愈明显，手肘撑在椅背托腮。 ,"Seeing his reaction, Alya's mischievous smile grew even more pronounced, and she rested her elbow on the back of the chair, propping up her chin."
107,0.766697,1,3,2,1.0,0.766697,背对朝阳愉快微笑的倩影美丽如画。 ,"Her silhouette, smiling happily against the morning sun, was picture-perfect."
109,0.789342,2,2,0,1.0,0.789342,简直是对仆人开出无解难题来找乐子的任性公主。或是对部下提出无理要求的反派女干部。 ,"It was just like a spoiled princess posing an unsolvable puzzle to her servant for amusement, or a villainous female boss making unreasonable demands of her subordinate."
111,0.827375,4,4,0,1.0,0.827375,（无论是礼服还是军服，艾莉穿起来应该都很合适吧～～） ,"(Whether it's a formal gown or a military uniform, Alya would look equally stunning in either~)"
113,0.727398,2,3,1,1.0,0.727398,政近像这样让思绪飞往毫不相干的方向，匆忙起身前往教室后方的艾莉莎置物柜。 ,"Masachika, letting his thoughts drift in completely unrelated directions, hurriedly stood up and headed toward Alya's locker at the back of the classroom."
115,0.725632,2,2,0,1.0,0.725632,以视线向艾莉莎确认之后打开柜子一看，里面是整理得一丝不苟的各种课本与工具箱。 ,"After confirming with his gaze, he opened the locker and found it filled with neatly organized textbooks and toolboxes."
117,0.822874,2,3,1,1.0,0.822874,深处的折叠伞下方，以透明塑胶袋装著袜子。 ,"At the bottom, under a folded umbrella, were socks stored in a clear plastic bag."
119,0.754261,3,3,0,1.0,0.754261,政近再度莫名觉得自己在做什么不该做的事，连同塑胶袋抓住袜子拿出来，匆忙回到自己的座位。 ,"Masachika once again inexplicably felt as though he was doing something he shouldn't, grabbed the socks along with the plastic bag, and hurried back to his seat."
121,0.691414,3,3,0,1.0,0.691414,「拿去。」 ,"""Here you go."""
123,0.744685,2,5,3,0.714286,0.531918,然后他看著艾莉莎脸蛋旁边的空间递出袜子之后，艾莉莎倚靠在窗缘开口扔出震撼弹。 ,"He handed the socks over, placing them beside Alya's face, and Alya, leaning against the window frame, dropped a bombshell."
125,0.803287,4,4,0,1.0,0.803287,「那么，帮我穿吧？」 ,"""So, will you help me put them on?"""
127,0.930232,3,3,0,1.0,0.930232,「啥？」 ,"""What?"""
129,0.769035,2,1,1,1.0,0.769035,政近发出怪声转头一看，艾莉莎朝他抬起右腿。 ,Masachika let out a strange sound and turned around to see Alya raising her right leg toward him.
131,0.84613,4,5,1,1.0,0.84613,大概因为教室只有他们两人，艾莉莎和往常不同，完全没隐藏看好戏的心情，挂著坏心眼的笑容歪过脑袋。 ,"Perhaps because they were the only two in the classroom, Alya, unlike usual, showed no sign of hiding her amusement, tilting her head with a mischievous smile."
133,0.782959,3,3,0,1.0,0.782959,「怎么了？」 ,"""What's wrong?"""
135,0.761771,5,5,0,1.0,0.761771,「不对，居然问我怎么了，我才想问你怎么了？」 ,"""No, you're asking me what's wrong? I should be asking you what's wrong!"""
137,0.888801,4,4,0,1.0,0.888801,「这是你帮我拿袜子的谢礼。这对你来说是奖赏吧？」 ,"""This is my thank-you for getting my socks for me. Isn't this a reward for you?"""
139,0.889576,5,4,1,1.0,0.889576,「不对，把这种事当成奖赏的人，只有一部分特殊的……」 ,"""No, only a very special kind of person would consider something like this a reward..."""
141,0.821963,4,4,0,1.0,0.821963,「哎呀，不是吗？」 ,"""Oh, isn't it?"""
143,0.858175,8,11,3,0.894737,0.767841,艾莉莎一脸意外般地双手抱胸，再度重新交叠双腿，政近猛然转头移开视线大喊：「不！这是奖赏～～！」 ,"Alya, looking surprised, crossed her arms and once again neatly crossed her legs, causing Masachika to sharply turn his head, avert his gaze, and shout, ""No! This is a reward~!"""
145,0.860499,8,8,0,1.0,0.860499,政近原本想继续说：「够了吧！拜托饶了我吧！」……但是还没开口，艾莉莎轻声说出的俄语就传入他的耳朵。 ,"Masachika had originally intended to continue, ""That's enough! Please spare me!""... but before he could speak, Alya's softly spoken Russian words reached his ears."
147,0.822263,3,3,0,1.0,0.822263,【不过对我来说也是。】 ,【But it's the same for me too.】
149,0.755592,2,2,0,1.0,0.755592,斜眼瞥向艾莉莎，直到刚才的恶作剧表情消失无踪。 ,"He glanced sideways at Alya, and the mischievous expression from just moments ago had completely vanished."
151,0.812435,4,5,1,1.0,0.812435,艾莉莎不自觉地脸红，玩弄头发移开视线。看到这副表情，政近的大脑朝著奇怪的方向全速运作。 ,"Alya unconsciously blushed, played with her hair, and averted her gaze. Seeing this expression, Masachika's brain went into overdrive in a strange direction."
153,0.779735,1,1,0,1.0,0.779735,艾莉莎以俄语遮羞的行为是怎么回事？ ,What was going on with Alya's behavior of covering herself with Russian?
155,0.830715,4,5,1,1.0,0.830715,政近从以前就在思考这个问题。后来他得出「艾莉或许是心理层面的暴露狂」这个结论。 ,"Masachika had been pondering this question for a long time. Eventually, he concluded that ""Alya might be a psychological exhibitionist."""
157,0.896615,4,3,1,1.0,0.896615,艾莉莎是完美主义的努力派。为了成为心目中理想的自己，她总是严以律己，不断努力。 ,"Alya was a perfectionist and a hard worker. To become the ideal version of herself, she was always strict with herself and constantly striving."
159,0.815845,4,4,0,1.0,0.815845,不过，愈是在平常压抑自己的人，愈容易找管道宣泄内心累积的压力。政近在某处听过这种事。 ,"However, the more one suppresses oneself in everyday life, the easier it is to find an outlet for the accumulated stress within. Masachika had heard this somewhere before."
161,0.793453,2,2,0,1.0,0.793453,而对于艾莉莎来说，以俄语遮羞的这种行为正是在宣泄压力吧。 ,"And for Alya, this behavior of covering herself with Russian was precisely a way to release her stress."
163,0.901638,3,2,1,1.0,0.901638,如同不穿内衣出现在公众场所的暴露狂，或许她在别人面前说出害臊的话语，是要享受可能被拆穿真相的惊险刺激感。 ,"Like an exhibitionist who appears in public without underwear, perhaps speaking embarrassing words in front of others was her way of enjoying the thrill of potentially being exposed."
165,0.814966,3,3,0,1.0,0.814966,政近是这么推测的。换言之，他想表达的意思是…… ,"That was Masachika's speculation. In other words, what he meant was..."
167,0.714932,3,4,1,1.0,0.714932,（既然是你情我愿就没问题了！） ,"(As long as it's consensual, it's fine!)"
169,0.852744,6,7,1,1.0,0.852744,按照政近的理论，艾莉莎是享受害羞感觉的人种。换句话说艾莉莎会开心，他也会开心。是的，这是双赢的关系！ ,"According to Masachika's theory, Alya was someone who enjoyed feeling shy. In other words, Alya would be happy, and he would be happy too. Yes, it was a win-win relationship!"
171,0.912548,13,14,1,1.0,0.912548,……如果别人听到这种说法，肯定接连说出「这是哪门子的逻辑？」「心理层面的暴露狂是什么？」「犯罪的每个人都说是你情我愿喔」等各种吐槽，不过说来悲哀，政近的脑中没人负责吐槽。 ,"......If others heard this, they'd surely respond with a barrage of吐槽 like, ""What kind of logic is that?"" ""What's a psychological exhibitionist?"" ""Everyone who commits a crime claims it was consensual!"" Sadly, there was no one in Masachika's brain to deliver those critiques."
173,0.862639,4,6,2,1.0,0.862639,但是政近在这个阶段依然在犹豫。虽说是你情我愿，却是以俄语成立的。这时候还是希望以日语徵得许可。 ,"But even at this stage, Masachika was still hesitating. Although it was consensual, it was established through Russian. At this point, he still hoped to obtain permission in Japanese."
175,0.834744,3,3,0,1.0,0.834744,「你刚才说什么？」 ,"""What did you just say?"""
177,0.743368,4,4,0,1.0,0.743368,基于邪恶至极的这个构想，政近重新面向正前方询问。艾莉莎随即露出挑衅的笑，以政近预先猜测到的方式掩饰。 ,"Based on this utterly wicked idea, Masachika turned back to face forward and asked again. Alya immediately responded with a provocative smile, masking her words in the very way Masachika had anticipated."
179,0.831369,6,7,1,1.0,0.831369,「没有啊？我只是说『你这个窝囊废』。」 ,"""Huh? I didn't say anything. I just called you a 'loser.'"""
181,0.844148,5,6,1,1.0,0.844148,我就是在等你这句话。政近在内心振臂握拳，露出深感遗憾的表情。艾莉莎对他露出瞧不起的笑容，解开交叠的双腿。 ,"""That's exactly what I was waiting for!"" Masachika cheered inwardly, pumping his fist and putting on a deeply regretful expression. Alya gave him a dismissive smile and uncrossed her legs."
183,0.800019,5,5,0,1.0,0.800019,「哎，算了。我自己穿──」 ,"""Oh, forget it. I'll just put them on myself—"""
185,0.871097,4,4,0,1.0,0.871097,「不，没这个必要。」 ,"""No, that's not necessary."""
187,0.724465,4,4,0,1.0,0.724465,「咦──？」 ,"""Huh...?"""
189,0.680671,3,4,1,1.0,0.680671,艾莉莎正要收回袜子的时候，政近拿著袜子当场跪下，使得艾莉莎一脸诧异。 ,"Just as Alya was about to pull her socks back, Masachika knelt down right there, holding the socks, leaving Alya utterly astonished."
191,0.745427,3,3,0,1.0,0.745427,不过在下一瞬间，右腿被政近伸手扶住，她大幅睁开双眼。 ,"But the next instant, her right leg was gently supported by Masachika's hand, causing her eyes to widen dramatically."
193,0.703913,3,3,0,1.0,0.703913,「呀啊？」 ,"""Ah!"""
195,0.864754,5,4,1,1.0,0.864754,别人的指尖从脚跟撩到脚踝，酥痒又不舒服的这种感觉，使得艾莉莎惊声尖叫。右腿反射性地往上弹，她连忙按住裙子。 ,"The sensation of someone's fingertips brushing from her heel to her ankle—a tingling, uncomfortable feeling—made Alya scream in surprise. Her right leg reflexively shot upward, and she quickly clutched at her skirt."
197,0.779574,4,5,1,1.0,0.779574,「喂喂喂，别乱动啦。」 ,"""Hey, hey, stop moving around!"""
199,0.80854,7,6,1,1.0,0.80854,「要……要我别乱动……啊，等一下──！」 ,"""Y-you're telling me not to move... Ah, wait—!"""
201,0.821402,3,2,1,1.0,0.821402,差点发出奇怪的声音，艾莉莎就这么以右手按住裙子，迅速以左手捂嘴。 ,"On the verge of letting out a strange sound, Alya pressed her right hand against her skirt and swiftly covered her mouth with her left."
203,0.719641,2,2,0,1.0,0.719641,政近傻眼看著这样的艾莉莎，嘴角露出诡计得逞的笑容开口说： ,"Masachika stared dumbfounded at Alya, a sly smile spreading across his lips as he said:"
205,0.810129,4,4,0,1.0,0.810129,「怎么了，是你叫我帮你穿吧？」 ,"""What's wrong? Didn't you ask me to help you put them on?"""
207,0.757377,6,5,1,1.0,0.757377,「是……没错啦，可是──！」 ,"""Y-yes... but—!"""
209,0.74617,4,4,0,1.0,0.74617,「被你说成窝囊废，我终究还是有尊严要顾的。」 ,"""Being called a loser—it still matters to my pride, after all."""
211,0.845048,4,4,0,1.0,0.845048,「等一下，我还没做好心理准备──」 ,"""Wait, I'm not ready yet—"""
213,0.678393,3,2,1,1.0,0.678393,但是政近对艾莉莎这句话不以为意，双手拇指撑开袜口，轻轻将袜子套在艾莉莎脚上。 ,"But Masachika disregarded Alya's protest, using both thumbs to stretch open the sock's opening and gently pulling the sock onto Alya's foot."
215,0.836519,2,1,1,1.0,0.836519,袜子从趾尖往上爬的触感，彷佛有一道电流窜上艾莉莎的背脊。 ,The sensation of the sock creeping up from her toes felt like an electric current running up Alya's spine.
217,0.835801,4,5,1,1.0,0.835801,「啊，不要──」 ,"""Aah, don't—!"""
219,0.794088,2,2,0,1.0,0.794088,然后，政近的拇指隔著袜子的薄布碰到艾莉莎的大腿── ,"Then, Masachika's thumb touched Alya's thigh through the thin fabric of the sock—"
221,0.790369,4,4,0,1.0,0.790369,「～～你在摸哪里啊！」 ,"""Wh-where are you touching me?!"""
223,0.768774,3,3,0,1.0,0.768774,「啊噗嘶！」 ,"""Agh!"""
225,0.769572,4,4,0,1.0,0.769572,艾莉莎的腿情急之下往上踢，漂亮命中政近的下巴。政近就这么跌坐在地，后脑勺用力撞上自己的椅子。 ,"Alya's leg instinctively kicked upward, landing a perfect strike on Masachika's chin. Masachika fell backward, his head slamming hard into his chair."
227,0.714504,4,4,0,1.0,0.714504,「～～～～！」 ,"""Ugh—!"""
229,0.878399,6,6,0,1.0,0.878399,「啊，对……对不起。还好吗？」 ,"""Ah, I'm... I'm sorry. Are you okay?"""
231,0.795525,5,8,3,0.846154,0.673137,看著政近倒地蜷缩抱头痛得要命，艾莉莎内心的担忧终究盖过其他情绪，暂时忘记害羞与愤怒表达关心之意。政近在她面前朝著地板颤抖伸出右手，食指抚过地板。 ,"Watching Masachika lying on the floor, curled up and clutching his head in agony, Alya's concern ultimately overwhelmed her other emotions, momentarily forgetting her embarrassment and anger as she expressed her worry. Masachika, before her, trembled as he reached out his right hand toward the floor, his index finger tracing across it."
233,0.808255,1,1,0,1.0,0.808255,就像是以自身鲜血写下死前讯息的濒死伤患。 ,It was as if he were a dying patient writing his final message in his own blood.
235,0.754285,3,4,1,1.0,0.754285,实际上政近的手指头没沾血，就只是指尖抚过地板，不过艾莉莎却清楚看见政近想写的字。 ,"In reality, Masachika's fingers weren't stained with blood; his fingertip merely brushed across the floor, yet Alya clearly saw the words Masachika intended to write."
237,0.843166,3,4,1,1.0,0.843166,简单的「粉红色」三个字。 ,"Three simple characters: ""pink."""
