line_index,semantic_similarity,punct_src,punct_tgt,punct_diff,punct_similarity,combined_score,source,repaired
239,0.851342,3,3,0,1.0,0.851342,「！」 ,"""!"""
241,0.800863,3,3,0,1.0,0.800863,认出这三个字的瞬间，艾莉莎猛然按住自己的裙子。脸蛋立刻因为愤怒与害羞而通红。 ,"The moment she recognized these three characters, Alya abruptly clutched at her skirt, her face instantly flushing red with anger and embarrassment."
243,0.699823,5,5,0,1.0,0.699823,「～～你这，唔～～」 ,"""Ugh... you—ugh—!"""
245,0.793684,5,4,1,1.0,0.793684,大概是不知道如何将怒火宣泄在倒地的政近，艾莉莎反覆开阖右手，暂时发出不成声的声音，接著慢慢抓起政近桌上的另一条袜子，迅速套在左腿。 ,"Not knowing how to vent her fury on the fallen Masachika, Alya repeatedly opened and closed her right hand, emitting inarticulate sounds for a moment, then quickly grabbed another sock from Masachika's desk and swiftly pulled it onto her left leg."
247,0.81459,2,3,1,1.0,0.81459,等到双脚穿上室内鞋之后，她以俄语朝著依然死在地上的政近大喊： ,"Once both feet were clad in indoor shoes, she shouted in Russian at Masachika, who was still lying motionless on the floor:"
249,0.892563,5,5,0,1.0,0.892563,【真是不敢相信！笨蛋！去死吧！】 ,【I can't believe it! You idiot! Go die!】
251,0.823076,5,4,1,1.0,0.823076,艾莉莎像是孩童般地怒骂之后，以粗鲁的脚步走出教室。刚好在这时候要进入教室的两名女同学，被艾莉莎非比寻常的模样吓到，连忙让路。 ,"After scolding Masachika like a child, Alya strode out of the classroom with rough steps. Just at that moment, two female classmates entering the classroom were startled by Alya's unusual appearance and quickly stepped aside."
253,0.911751,5,5,0,1.0,0.911751,「咦？什么？艾莉公主刚才好像叫了好大一声？」 ,"""Huh? What? Did Princess Alya just scream so loudly?"""
255,0.908787,6,7,1,1.0,0.908787,「那是俄语吧？怎么回事？咦？公主大人神智错乱了？」 ,"""That was Russian, wasn't it? What's going on? Huh? Has the princess lost her mind?"""
257,0.81222,3,2,1,1.0,0.81222,两人一起露出错愕表情目送艾莉莎的背影，然后不经意看向教室，发现正在揉著后脑勺的政近。 ,"The two exchanged shocked expressions as they watched Alya's retreating figure, then inadvertently glanced toward the classroom and spotted Masachika rubbing the back of his head."
259,0.814731,5,5,0,1.0,0.814731,「早安，久世……发生了什么事？」 ,"""Good morning, Masachika... What happened?"""
261,0.85483,6,6,0,1.0,0.85483,「啊啊，早安……不，没什么。」 ,"""Ah, good morning... No, nothing."""
263,0.813523,5,5,0,1.0,0.813523,「早安，久世同学……你的头怎么了？」 ,"""Good morning, Masachika... What's wrong with your head?"""
265,0.836391,4,5,1,1.0,0.836391,「没有啦……总觉得这个部位好像冒了痘痘。」 ,"""Oh, it's nothing... Just feels like a pimple popped up here."""
267,0.778377,4,4,0,1.0,0.778377,「嗯～～？」 ,"""Hmm...?"""
269,0.86439,5,5,0,1.0,0.86439,两人狐疑歪过脑袋，坐在自己的座位。政近假装没察觉这两人的疑惑视线，拿出手机开启简讯应用程式，传讯息给妹妹。 ,"The two tilted their heads in suspicion and sat down at their seats. Masachika pretended not to notice their questioning gazes, took out his phone, opened the messaging app, and sent a message to his younger sister."
271,0.623904,4,4,0,1.0,0.623904,『老妹啊，大事不妙。』 ,"""Sis, this is serious."""
273,0.849325,3,3,0,1.0,0.849325,她大概正在搭车上学，讯息立刻变成已读，传来回应。 ,"She was probably on her way to school by bus, and the message was immediately marked as read, with a reply coming back quickly."
275,0.757187,4,4,0,1.0,0.757187,『我亲爱的哥哥大人，怎么了？』 ,"""My dear brother, what's wrong?"""
277,0.785006,4,4,0,1.0,0.785006,『听完别吓到啊，其实……』 ,"""Don't be scared when you hear this, but..."""
279,0.63772,3,3,0,1.0,0.63772,『洗耳恭听。』 ,"""I'm all ears."""
281,0.825942,3,4,1,1.0,0.825942,她传来一张战栗发抖的动画角色贴图。政近看著充满紧张感的这张贴图，以一副痛恨至极的表情输入讯息。 ,"She sent back an animated sticker of a character shivering with fear. Masachika, looking at this intensely tense sticker, typed out a message with an expression of utter disgust."
283,0.844699,4,4,0,1.0,0.844699,『我……说不定是腿控。』 ,"""I... might be a leg fetishist."""
285,0.852309,5,5,0,1.0,0.852309,『你说什么……？你这家伙不是道地的奶子星人吗？』 ,"""What are you saying...? Aren't you a die-hard boob person?"""
287,0.824172,5,5,0,1.0,0.824172,『是啊……唔！没想到我居然有这种癖好！』 ,"""Yes... Ugh! Who would've thought I'd have such a fetish!"""
289,0.80744,4,4,0,1.0,0.80744,『这样啊……看来你终于明白腿的美妙了……』 ,"""So that's how it is... It seems you've finally understood the beauty of legs..."""
291,0.81947,3,3,0,1.0,0.81947,『好像是。』 ,"""Looks like it."""
293,0.844866,5,6,1,1.0,0.844866,『腿很棒啊？虽然肉肉的大腿很赞，不过锻炼过像是羚羊的健美双腿也难以抗拒。』 ,"""Legs are amazing, aren't they? While plump thighs are wonderful, well-toned legs like an antelope's are also irresistible."""
295,0.748308,4,5,1,1.0,0.748308,『喔喔，老妹你真是了不起。』 ,"""Wow, sis, you're incredible."""
297,0.705788,4,5,1,1.0,0.705788,『嗯……话说老哥。』 ,"""Hmm... By the way, bro."""
299,0.765321,3,3,0,1.0,0.765321,『嗯？』 ,"""Hmm?"""
301,0.850769,3,3,0,1.0,0.850769,『这是什么白痴对话？』 ,"""What kind of idiotic conversation is this?"""
303,0.861893,3,3,0,1.0,0.861893,『抱歉。』 ,"""Sorry."""
305,0.855807,4,3,1,1.0,0.855807,隔著手机被妹妹泼冷水，政近表情变得严肃。他收起手机，无力趴在桌上。 ,"Receiving a cold splash from his sister over the phone, Masachika's expression grew serious. He put away his phone and slumped lifelessly onto the desk."
307,0.773603,3,3,0,1.0,0.773603,「这下子怎么办呢……」 ,"""What am I going to do now..."""
309,0.828149,5,3,2,1.0,0.828149,政近自己也知道刚才在各方面做得太过火了。感觉最好现在就去道歉，不过艾莉莎自尊心那么强，要是现在贸然前去道歉，可能反而会令她态度更加强硬。 ,"Masachika himself knew he'd gone too far in every respect just now. He felt it would be best to apologize right away, but Alya's pride was so strong that rushing to apologize now might only make her even more stubborn."
311,0.858096,4,4,0,1.0,0.858096,「哎，等她回来再思考吧。」 ,"""Ah, let's think about it when she gets back."""
313,0.855794,3,3,0,1.0,0.855794,艾莉莎也不是孩子了。等她冷静之后，或许会意外以一如往常的样子回座。 ,"Alya wasn't a child anymore. Once she calmed down, she might surprisingly return to her seat as usual."
315,1.0,1,1,0,1.0,1.0,◇ ,◇
317,0.650936,2,2,0,1.0,0.650936,先说结论，不是政近想的那样。 ,"To state the conclusion first, it wasn't at all what Masachika had imagined."
319,0.83428,7,8,1,1.0,0.83428,「呃～～那么今天要通知的事情说完了。啊啊，敬礼就免了，再见。」 ,"""Um... Well, that's all the announcements for today. Oh, salutes are unnecessary, goodbye."""
321,0.887608,3,2,1,1.0,0.887608,班导迅速说完之后匆忙离开教室。早上的班会时间很快结束，所以距离第一节课还有将近五分钟的时间。 ,The homeroom teacher finished speaking quickly and hurried out of the classroom. Morning homeroom ended so swiftly that there were still nearly five minutes until the first class.
323,0.88753,6,5,1,1.0,0.88753,不过，一年B班的学生们没人离席，只听到有人开始压低声音悄悄讨论某些事。老师之所以提早结束班会时间，学生们之所以有点紧张，原因只有一个。 ,"However, none of the students in Class 1-B left their seats; instead, some began quietly lowering their voices to whisper about something. The reason the teacher ended homeroom early and the students were somewhat tense was only one thing."
325,0.800708,2,2,0,1.0,0.800708,因为我们的艾莉公主一改平常的扑克脸，托腮板著脸彻底释放不悦气场。 ,"Because our Princess Alya had abandoned her usual poker face, resting her cheek on her hand and completely unleashing her displeased aura."
327,0.759474,7,5,2,1.0,0.759474,「（欸，我问你……那边是发生了什么事？）」 ,"""Hey, tell me... What's going on over there?"""
329,0.690716,6,4,2,1.0,0.690716,「（不知道……不过听说是和久世同学有关。）」 ,"""I don't know... But I heard it has something to do with Masachika."""
331,0.824966,8,6,2,1.0,0.824966,「（是没错啦，艾莉同学心情不美丽，只可能是久世同学惹她生气吧。具体来说是发生什么事？）」 ,"""That's right... Alya's in a terrible mood, so it must be Masachika who upset her. What exactly happened?"""
333,0.750188,5,3,2,1.0,0.750188,「（我刚才有听到艾莉公主放声大喊耶？）」 ,"""I just heard Alya screaming at the top of her lungs!"""
335,0.850892,6,4,2,1.0,0.850892,「（咦？她说了什么？）」 ,"""Huh? What did she say?"""
337,0.887831,6,5,1,1.0,0.887831,「（天晓得？她说俄语所以听不懂。）」 ,"""Heaven knows? She spoke Russian, so I couldn't understand."""
339,0.70394,3,5,2,1.0,0.70394,教室各处轻声传来各种臆测，毅在这种状况下悄悄离座，弯著腰偷偷去找政近。 ,"Various speculations whispered softly throughout the classroom, and under these circumstances, Tsuyoshi quietly left his seat, bent over, and stealthily approached Masachika."
341,0.629217,6,4,2,1.0,0.629217,「（欸，我问你……）」 ,"""Hey, tell me..."""
343,0.674778,5,3,2,1.0,0.674778,「（什么事啊？）」 ,"""What's up?"""
345,0.667334,3,3,0,1.0,0.667334,政近慑于周围的气氛，不自觉同样轻声回应。毅随即将嘴凑到政近耳边打耳语。 ,"Intimidated by the atmosphere around him, Masachika unconsciously responded in a similarly hushed tone. Tsuyoshi then leaned close to Masachika's ear and whispered:"
347,0.771875,6,4,2,1.0,0.771875,「（听说你惹艾莉同学生气之后挨了延髓斩，真的吗？）」 ,"""I heard you got hit with a medulla oblongata kick after upsetting Alya. Is that true?"""
349,0.785632,3,3,0,1.0,0.785632,「为什么变成这样？」 ,"""How did it come to this?"""
351,0.688631,2,2,0,1.0,0.688631,政近忍不住大叫，被艾莉莎狠狠一瞪就缩起脖子。 ,"Masachika couldn't help but exclaim, shrinking his neck under Alya's fierce glare."
353,0.775638,4,4,0,1.0,0.775638,顺带一提，「延髓斩」是跳起来朝对方后脑勺攻击的回旋踢。 ,"By the way, a ""medulla oblongata kick"" is a spinning kick aimed at the back of the opponent's head."
355,0.858558,1,1,0,1.0,0.858558,即使是坏孩子也绝对不能模仿这种招式。 ,Even bad kids should never imitate this move.
357,0.828679,5,4,1,1.0,0.828679,「（艾莉不可能使用这么危险的招式吧？）」 ,"""Alya wouldn't use such a dangerous move, would she?"""
359,0.738685,6,4,2,1.0,0.738685,「（我……我想也是。）」 ,"""I... I don't think so either."""
361,0.745978,6,4,2,1.0,0.745978,「（是啊，顶多只是下颚挨了倒挂金钩踢。）」 ,"""Yeah, at most she'd get a reverse hook kick to the jaw."""
363,0.776393,6,4,2,1.0,0.776393,「（慢著，这就某方面来说也很危险吧？）」 ,"""Wait, isn't that dangerous in its own way?"""
365,0.741496,4,7,3,0.818182,0.606678,毅以为是玩笑话而露出苦笑，政近心想「不过我一半是说真的」含糊一笑。 ,"Tsuyoshi smiled wryly, thinking it was a joke, while Masachika thought, ""But half of it's actually true,"" and gave a vague smile."
367,0.843765,5,3,2,1.0,0.843765,「（所以艾莉公主为什么不高兴到那种程度？）」 ,"""So why is Princess Alya so upset?"""
369,0.640546,6,4,2,1.0,0.640546,「（没有啦，那是……）」 ,"""Oh, it's just that..."""
371,0.724443,7,6,1,1.0,0.724443,「（反正是你做错事闯祸吧？好啦，给我从实招来！）」 ,"""You definitely did something wrong and caused trouble, didn't you? Now, confess already!"""
373,0.692257,6,6,0,1.0,0.692257,「（唔～～总之要说做错确实有做错吧？）」 ,"""Ugh... Well, I guess I did do something wrong, didn't I?"""
375,0.836192,7,8,1,1.0,0.836192,老实说，做错事了。闯祸了。不过要是这时候自首「我摸了她的腿还看见内裤」，明显立刻就会接受学年审判并且全票通过公开处刑。 ,"Honestly, he had done something wrong. He had caused trouble. But if he confessed now, ""I touched her leg and saw her underwear,"" he'd obviously face an immediate year-level trial and unanimous approval for public execution."
377,0.686139,2,2,0,1.0,0.686139,所以政近运用话术回避毅的追问，思考有什么方法能让艾莉莎心情变好。 ,"So Masachika used his verbal skills to evade Tsuyoshi's persistent questioning, pondering how he could cheer Alya up."
379,0.798836,4,4,0,1.0,0.798836,「啊啊～～艾莉？」 ,"""Ah... Alya?"""
381,0.813017,4,4,0,1.0,0.813017,总之先道歉吧。政近向托腮看向窗外的艾莉莎搭话。然后艾莉莎只将视线移向政近，以恐怖的声音回应： ,"First things first—apologize. Masachika spoke to Alya, who was resting her chin on her hand and gazing out the window. Alya merely shifted her gaze toward Masachika and replied in a chilling tone:"
383,0.837804,8,8,0,1.0,0.837804,「……怎么了，久世同学？」【这个腿控色狼。】 ,"""...What is it, Kuse-kun?"" [You perverted leg fetishist.]"
385,0.839597,4,4,0,1.0,0.839597,总觉得听到副声道了。她以俄语在「久世同学」旁边加注小字。 ,"It felt as if he'd heard a subchannel. She'd added small Russian words next to ""Kuse-kun."""
387,0.72744,2,4,2,1.0,0.72744,被她这么说的政近也想大声辩解，但是既然假装听不懂俄语就无法多说什么。 ,"Hearing this, Masachika wanted to shout his defense, but since he'd pretended not to understand Russian, he couldn't say much."
389,0.801769,6,10,4,0.75,0.601327,总之要是反驳说「可惜我是奶子星人」，艾莉莎心中的政近股价肯定创新低，全班女生也会抢著拋售政近股，所以到头来保持沉默应该才是正确答案。 ,"After all, if he retorted, ""Unfortunately, I'm a boob person,"" Masachika's stock in Alya's eyes would plummet to an all-time low, and every girl in the class would rush to dump their Masachika shares. In the end, silence was probably the right answer."
391,0.82161,5,6,1,1.0,0.82161,（不过啊～～仔细想想，我做的事情没那么严重吧？） ,"""But... when you think about it carefully, what I did wasn't really that serious, was it?"""
393,0.765545,2,1,1,1.0,0.765545,艾莉莎的冷淡反应，使得政近内心冒出这种想法。 ,Alya's cold response triggered this thought within Masachika.
395,0.733035,3,3,0,1.0,0.733035,政近摸艾莉莎的腿，原本就是艾莉莎自己的指示，因为害臊而往上踢的也是艾莉莎。 ,"After all, touching Alya's leg had originally been her own instruction, and it was she herself who kicked upward out of shyness."
397,0.771965,4,5,1,1.0,0.771965,看见内裤是不可抗力的结果，后来以死前讯息的方式提醒应该是多此一举，不过这也是贴心暗示自己不在意艾莉莎动粗抵抗……政近不太能接受只有自己被视为错的一方。 ,"Seeing her underwear was an irresistible force, and reminding her afterward via a ""last message"" was probably unnecessary—but it was also a considerate hint that she didn't mind his rough resistance... Masachika just couldn't accept being the only one seen as at fault."
399,0.83518,3,3,0,1.0,0.83518,不过他知道，男生在这种状况往往屈居劣势，所以决定别乱说话直接道歉。 ,"However, he knew that boys were often at a disadvantage in such situations, so he decided not to say anything rash and just apologize directly."
401,0.838538,5,5,0,1.0,0.838538,「那个，对不起。刚才各方面惹你生气。」 ,"""Um... I'm sorry. I upset you in various ways just now."""
403,0.845731,6,9,3,0.866667,0.732967,「……我不介意啊？毕竟我也有错，而且我已经没生气了啊？」 ,"""...I don't really mind, do I? After all, I was also at fault, and I've already gotten over being angry, haven't I?"""
405,0.85232,8,10,2,1.0,0.85232,政近「那你为什么看起来这么不高兴啊～～」的内心疑问，以及全班同学偷听之后「绝对在说谎……」的内心感想重叠在一起。 ,"Masachika's inner question, ""Then why do you look so unhappy~,"" overlapped with the classmates' inner thoughts after eavesdropping, ""She's definitely lying..."""
407,0.859206,3,4,1,1.0,0.859206,不过，其实她没说谎。实际上艾莉莎已经没生气了。 ,"But actually, she wasn't lying. In fact, Alya had already gotten over her anger."
409,0.814555,3,1,2,1.0,0.814555,现在艾莉莎的心里，是腿被碰触、内裤被看见的害羞情感。 ,What filled Alya's heart now was the shy feeling from having her leg touched and her underwear glimpsed.
411,0.77229,6,6,0,1.0,0.77229,不只如此，虽说是因为政近的反应很有趣，不过主动要求「帮我穿吧？」的自身行径也令她害羞。 ,"Moreover, although it was because Masachika's reaction was so amusing, she was also embarrassed by her own proactive behavior of asking, ""Could you help me put them on?"""
413,0.863449,5,5,0,1.0,0.863449,还有，后来她像是孩童般地大呼小叫，这些行为造成的害羞情感填满艾莉莎的心。如果地上有洞，她好想钻进去封住洞口进行隔音加工之后喊个痛快。 ,"And then there was her childlike shouting and screaming afterward—these actions further filled Alya's heart with shy feelings. If there were a hole in the ground, she'd want to crawl into it, seal the entrance for soundproofing, and then scream her heart out."
415,0.828431,5,4,1,1.0,0.828431,她只是为了不让自己的内心想法显露出来，才会刻意对外散发「我心情不好！」的气场。 ,"She deliberately projected an aura of ""I'm in a bad mood!"" outward only to hide what was really going on inside."
417,0.587683,2,1,1,1.0,0.587683,不过政近猜不透这种少女心，就只是不知如何是好。 ,But Masachika couldn't fathom such a girl's heart and was simply at a loss.
419,0.866654,2,2,0,1.0,0.866654,钟声在他犹豫的时候响起，老师进入教室开始上第一节课。 ,"The bell rang while he was hesitating, and the teacher entered the classroom to begin the first lesson."
421,0.797306,8,5,3,0.846154,0.674643,「好～～要开始上课了～～那么，值日生九──久世，喊口令吧。」 ,"""Alright—let's start class—so, duty student nine—Kuse, give the command!"""
423,0.834217,3,3,0,1.0,0.834217,数学老师确认黑板角落所写的值日生名字，不经意看向艾莉莎，然后自然而然指名政近。 ,"The math teacher checked the duty student's name written in the corner of the blackboard, casually glanced at Alya, and naturally called on Masachika."
425,0.891305,3,3,0,1.0,0.891305,（（（我懂这种心情。））） ,(((I understand this feeling.)))
427,0.836752,2,3,1,1.0,0.836752,除了某人，班上所有人的心情团结一致。 ,"Everyone in the class, except for one person, shared the same sentiment."
429,0.858244,6,8,2,1.0,0.858244,「……起立，敬礼。老师好～～」 ,"""...Stand up, bow. Good morning, teacher~."""
431,0.804165,3,5,2,1.0,0.804165,「「「老师好～～」」」 ,"""Good morning, teacher~."""
433,0.842982,2,2,0,1.0,0.842982,自然地变得不太自然的招呼打完之后，一直以莫名紧张的气氛上课。 ,"After exchanging greetings that had become unnaturally natural, the class continued in an inexplicably tense atmosphere."
435,0.674018,3,3,0,1.0,0.674018,对于政近来说，早起的弊害果然引得睡魔逐渐接近，不过政近终究没有勇猛到能在这种气氛之中打瞌睡。 ,"For Masachika, the drawbacks of waking up early were indeed drawing sleep closer, but he wasn't brave enough to doze off in this atmosphere."
437,0.781951,3,4,1,1.0,0.781951,就算这么说，他也无法专心上课，专心在脑中摸索讨好公主大人的方法。 ,"Even so, he couldn't concentrate on the lesson; instead, he was busy brainstorming ways to please the princess in his head."
439,0.747852,6,6,0,1.0,0.747852,「那么，今天上到这里……久世，喊口令吧。」 ,"""So, that's all for today... Kuse, give the command."""
441,0.879856,6,8,2,1.0,0.879856,「……起立，敬礼。谢谢老师～～」 ,"""...Stand up, bow. Thank you, teacher~."""
443,0.861882,3,5,2,1.0,0.861882,「「「谢谢老师～～」」」 ,"""Thank you, teacher~."""
445,0.868605,6,7,1,1.0,0.868605,数学老师直到最后都坚持不看艾莉莎，就这么离开教室。政近也像是随后跟上般立刻冲出教室，快步前往设置在避难出口外面的自动贩卖机。获得目标商品之后随即掉头回到教室，恭敬献给邻座的艾莉莎。 ,"The math teacher avoided looking at Alya until the very end and left the classroom. Masachika immediately rushed out of the classroom as if following closely behind, hurrying to the vending machine set up outside the emergency exit. After obtaining his target item, he immediately turned around and returned to the classroom, respectfully presenting it to Alya, his seatmate."
447,0.796895,4,4,0,1.0,0.796895,「公主，今天请务必收下这个放过小的一马。」 ,"""Princess, please accept this today and spare this humble one."""
449,0.827442,10,9,1,1.0,0.827442,政近说完献出的是……在「征岭学园到底有谁会买的排行榜」堂堂创下连续十四年冠军记录的商品，名为「甜蜜蜜红豆汤」。补充说明一下，内容物可以形容为液状红豆馅，是极度甜腻到口乾舌燥的饮品。 ,"What Masachika presented was... a product that had proudly held the top spot on the ""Who Would Even Buy This at Seirei Academy"" chart for fourteen consecutive years, called ""Sweet Red Bean Soup."" To elaborate, its contents could be described as liquid red bean paste—a drink so intensely sweet it left your mouth parched."
451,0.817356,3,3,0,1.0,0.817356,（（（为什么是红豆汤？））） ,(((Why red bean soup?)))
453,0.880896,7,6,1,1.0,0.880896,班上同学们以「你疯了吗？是在挑衅公主吗？」的眼神看向政近，不过政近知道，艾莉莎常喝这种会让血糖飙高的饮料。 ,"The classmates looked at Masachika with expressions like, ""Are you crazy? Are you provoking the princess?"" But Masachika knew that Alya frequently drank this beverage that caused her blood sugar to spike."
455,0.847225,4,4,0,1.0,0.847225,「……我刚才不是说我没生气吗？」 ,"""...Didn't I just say I wasn't angry?"""
457,0.846628,5,5,0,1.0,0.846628,「是的，您当然说过。小的希望至少用这个表达谢罪的诚意。」 ,"""Yes, you certainly did. This humble one hopes at least this can convey our sincere apology."""
459,0.785231,5,5,0,1.0,0.785231,「……总之，我就收下吧。」 ,"""...Alright, I'll take it."""
461,0.741445,3,5,2,1.0,0.741445,「谢公主～～」 ,"""Thank you, Princess~."""
463,0.769653,4,5,1,1.0,0.769653,不出所料，艾莉莎从政近手中收下这罐饮料，开罐之后一口气喝光。班上纷纷投以战栗的视线。 ,"As expected, Alya accepted the drink from Masachika, opened the can, and drank it all in one go. The entire class watched with trembling gazes."
465,0.806022,3,3,0,1.0,0.806022,「感谢招待。」 ,"""Thank you for the treat."""
467,0.815419,4,4,0,1.0,0.815419,「啊，空罐这边会负责处理。」 ,"""Oh, I'll take care of the empty can."""
469,0.781243,3,3,0,1.0,0.781243,「这种小事不必了啦。」 ,"""No need for something so trivial."""
471,0.787742,4,5,1,1.0,0.787742,「不不不，小的可不能劳烦公主动手。」 ,"""No, no, no—this humble one can't possibly trouble the princess to do such a thing."""
473,0.82227,3,3,0,1.0,0.82227,「那就不要演这种奇怪的戏。」 ,"""Then stop putting on this strange act."""
475,0.627638,3,4,1,1.0,0.627638,「遵命。」 ,"""Yes, sir."""
477,0.851223,5,4,1,1.0,0.851223,虽然语气依然刻薄，政近却觉得艾莉莎散发的气息柔和了些。他对此松了口气，回到自己的座位……然后发现一件严重的事。 ,"Although her tone remained sharp, Masachika felt that Alya's aura had softened somewhat. He breathed a sigh of relief and returned to his seat... only to discover something serious."
479,0.829858,5,4,1,1.0,0.829858,（啊，惨了……我没有下一节课的课本。） ,"""Oh no... I don't have the textbook for the next class."""
481,0.851654,6,8,2,1.0,0.851654,以往在这种时候会请艾莉莎借他看。不过要是在这个状况厚脸皮说「课本借我看吧？」这种话，艾莉莎稍微变好的心情或许会急遽恶化。 ,"In the past, he would have asked Alya to lend it to him. But if he brazenly said, ""Can I borrow your textbook?"" in this situation, Alya's slightly improved mood might plummet again."
483,0.818717,2,1,1,1.0,0.818717,这么一来，全班肯定会朝他投以责备的视线。 ,And then the whole class would surely cast reproachful glances at him.
485,0.744482,3,3,0,1.0,0.744482,（没办法了……） ,(There's no helping it...)
487,0.784855,4,4,0,1.0,0.784855,检视书包与抽屉之后僵住的政近，被艾莉莎投以疑惑的视线。政近像是要逃离这双视线般地转头，朝另一侧的女生开口说： ,"After stiffening up while checking his schoolbag and desk drawer, Masachika was met with Alya's puzzled gaze. As if trying to escape those eyes, Masachika turned his head and addressed the girl on the other side:"
489,0.909968,4,4,0,1.0,0.909968,「抱歉，可以借我看一下课本吗？」 ,"""Sorry, could I borrow your textbook?"""
491,0.811188,6,6,0,1.0,0.811188,「咦？啊啊……嗯，好。」 ,"""Huh? Oh... um, sure."""
493,0.82587,6,7,1,1.0,0.82587,邻座的女生像是猜出端倪般地露出苦笑，爽快点头答应。政近对此心怀谢意，将课桌并过去之后，有惊无险松了口气。紧接著…… ,"The seatmate, as if guessing what was going on, gave a wry smile and readily agreed. Masachika was deeply grateful and, after pushing the desks together, breathed a sigh of relief without incident. And then..."
495,0.674303,3,3,0,1.0,0.674303,【花花公子。】 ,【Playboy.】
497,0.882977,2,2,0,1.0,0.882977,随著这句俄语的呢喃，教室气氛变得更加冰冷。 ,"With this whispered word in Russian, the classroom atmosphere grew even colder."
499,0.639053,3,4,1,1.0,0.639053,（到底要我怎样啦……） ,(What exactly do you want from me...?)
501,0.749935,3,2,1,1.0,0.749935,政近的叹息无济于事，这天的一年B班教室，一直维持著莫名紧张的气氛上课。,"Masachika's sighs were futile, and the Year B classroom continued to maintain an inexplicably tense atmosphere throughout the day."
